item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
P77497,749.0,3,Leftovers,32,3,4,4,Low Priority Item
P2004743,0.0,2,Fast Mover,41,2,5,4,Low Priority Item
P6011638,0.5,2,Fast Mover,4,3,3,2,Low Priority Item
183907,1.0,2,Fast Mover,2,2,4,3,Low Priority Item
765380000,1.0,2,Fast Mover,61,8,6,5,Low Priority Item
765380020,1.0,2,Fast Mover,24,4,25,5,Low Priority Item
P6011624,1.0,2,Fast Mover,5,2,3,2,Low Priority Item
P6015049,1.0,2,Fast Mover,6,2,10,5,Low Priority Item
SM0167,1.0,2,Fast Mover,2,2,4,4,Low Priority Item
179250,1.5,2,Fast Mover,3,3,2,2,Low Priority Item
180945,1.5,2,Fast Mover,3,2,3,2,Low Priority Item
AC2586,1.5,2,Fast Mover,12,3,10,9,Low Priority Item
P6013350,1.5,2,Fast Mover,40,2,24,5,Low Priority Item
183777,2.0,2,Fast Mover,6,2,6,4,Low Priority Item
52-460-769-607,2.0,2,Fast Mover,2,2,2,2,Low Priority Item
AC8843,2.0,2,Fast Mover,2,2,2,2,Low Priority Item
FK408B,2.0,2,Fast Mover,2,2,2,2,Low Priority Item
M99136,2.0,2,Fast Mover,34,2,32,5,Low Priority Item
P2000675,2.0,2,Fast Mover,5,2,3,2,Low Priority Item
P2001268,2.0,2,Fast Mover,6,2,10,5,Low Priority Item
P5001045,2.0,2,Fast Mover,4,2,1,1,Low Priority Item
AC6066,2.5,2,Fast Mover,2,2,2,2,Low Priority Item
P2003476,2.5,2,Fast Mover,12,2,19,9,Low Priority Item
P58631,2.5,2,Fast Mover,80,2,89,17,Top Priority Item
183563,3.0,2,Fast Mover,8,3,6,3,Low Priority Item
DM0090,3.0,2,Fast Mover,5,2,5,2,Low Priority Item
FJ624A,3.0,2,Fast Mover,2,2,2,2,Low Priority Item
FM0051,3.0,2,Fast Mover,2,2,2,2,Low Priority Item
P5001510,3.0,2,Fast Mover,12,6,2,2,Low Priority Item
179186,3.5,2,Fast Mover,3,2,5,3,Low Priority Item
AC2462,3.5,2,Fast Mover,6,2,9,6,Low Priority Item
SM0702,3.5,2,Fast Mover,2,2,2,2,Low Priority Item
178777,4.0,2,Fast Mover,2,2,2,2,Low Priority Item
AC8351,4.0,2,Fast Mover,2,2,2,2,Low Priority Item
M99344,4.0,2,Fast Mover,2,2,2,2,Low Priority Item
P5002018,4.0,2,Fast Mover,9,6,11,8,Low Priority Item
P58654,4.0,2,Fast Mover,2,2,3,3,Low Priority Item
P6013043,4.0,2,Fast Mover,9,2,7,5,Low Priority Item
P6018911,4.0,2,Fast Mover,5,2,4,3,Low Priority Item
S100091,4.0,2,Fast Mover,8,2,7,7,Low Priority Item
SM0523,4.0,2,Fast Mover,6,3,4,2,Low Priority Item
SM0654,4.0,2,Fast Mover,2,2,2,2,Low Priority Item
179228,4.5,2,Fast Mover,4,2,4,2,Low Priority Item
181398,4.5,2,Fast Mover,5,2,5,2,Low Priority Item
184408,4.5,2,Fast Mover,2,2,2,2,Low Priority Item
765350180,4.5,2,Fast Mover,18,2,18,7,Low Priority Item
179229,5.0,2,Fast Mover,4,2,4,2,Low Priority Item
181851,5.0,2,Fast Mover,5,2,5,2,Low Priority Item
769580080,5.0,2,Fast Mover,11,3,12,4,Low Priority Item
DM0453,5.0,2,Fast Mover,2,2,2,2,Low Priority Item
P6010587,5.0,2,Fast Mover,2,2,2,2,Low Priority Item
P6015350,5.0,2,Fast Mover,48,2,2,1,Low Priority Item
SM0634,5.0,2,Fast Mover,2,2,2,2,Low Priority Item
SM1251,5.0,2,Fast Mover,3,2,3,3,Low Priority Item
X5916C,5.0,2,Fast Mover,2,2,2,2,Low Priority Item
104503,5.5,2,Fast Mover,5,2,5,2,Low Priority Item
104639,5.5,2,Fast Mover,2,2,2,2,Low Priority Item
M99068,5.5,2,Fast Mover,14,2,14,2,Low Priority Item
175890,6.0,2,Fast Mover,2,2,2,2,Low Priority Item
178730,6.0,2,Fast Mover,3,2,3,2,Low Priority Item
184072,6.0,2,Fast Mover,2,2,2,2,Low Priority Item
DM0467,6.0,2,Fast Mover,2,2,2,2,Low Priority Item
M99063,6.0,2,Fast Mover,48,2,24,2,Low Priority Item
183295,6.5,2,Fast Mover,2,2,3,3,Low Priority Item
184366,6.5,2,Fast Mover,3,2,3,2,Low Priority Item
903401,6.5,2,Fast Mover,3,2,3,2,Low Priority Item
178977,7.0,2,Medium Mover,3,3,2,2,Low Priority Item
183740,7.0,2,Medium Mover,3,2,3,2,Low Priority Item
765210120,7.0,2,Medium Mover,95,9,14,3,Low Priority Item
902896,7.0,2,Medium Mover,18,2,18,2,Low Priority Item
AC2425,7.0,2,Medium Mover,20,3,8,3,Low Priority Item
CM1096,7.0,2,Medium Mover,2,2,2,2,Low Priority Item
P6010591,7.0,2,Medium Mover,2,2,2,2,Low Priority Item
184405,7.5,2,Medium Mover,4,4,2,2,Low Priority Item
AC2397,7.5,2,Medium Mover,2,2,2,2,Low Priority Item
DA0152,7.5,2,Medium Mover,8,2,8,3,Low Priority Item
P6010209,7.5,2,Medium Mover,96,6,32,4,Low Priority Item
P6010789,7.5,2,Medium Mover,33,4,12,6,Medium Priority Item
P6015302,7.5,2,Medium Mover,35,4,24,9,Medium Priority Item
Y044753,7.5,2,Medium Mover,2,2,2,2,Low Priority Item
180249,8.0,2,Medium Mover,6,3,4,2,Low Priority Item
183550,8.0,2,Medium Mover,5,4,3,2,Low Priority Item
184428,8.0,2,Medium Mover,4,2,4,2,Low Priority Item
P5003548,8.0,2,Medium Mover,3,2,3,2,Low Priority Item
SM0737,8.0,2,Medium Mover,3,2,3,2,Low Priority Item
YA6049,8.0,2,Medium Mover,2,2,2,2,Low Priority Item
DM0446,9.0,2,Medium Mover,6,2,9,4,Low Priority Item
SM1878,9.0,2,Medium Mover,2,2,2,2,Low Priority Item
SM2217,9.0,2,Medium Mover,5,3,3,2,Low Priority Item
175907,9.5,2,Medium Mover,2,2,2,2,Low Priority Item
183711,9.5,2,Medium Mover,5,2,5,2,Low Priority Item
FM0053,9.5,2,Medium Mover,2,2,2,2,Low Priority Item
P2005128,9.5,2,Medium Mover,600,2,1241,5,Medium Priority Item
179264,10.0,2,Medium Mover,2,2,2,2,Low Priority Item
AC1412,10.0,2,Medium Mover,21,2,20,4,Low Priority Item
AC1586,10.0,2,Medium Mover,6,2,6,4,Low Priority Item
P6011800,10.5,2,Medium Mover,14,2,14,2,Low Priority Item
SM1819,10.5,2,Medium Mover,2,2,2,2,Low Priority Item
179263,11.0,2,Medium Mover,2,2,2,2,Low Priority Item
SM0721,11.0,2,Medium Mover,2,2,2,2,Low Priority Item
52-460-769-232,11.5,2,Medium Mover,2,2,2,2,Low Priority Item
P6011312,11.5,2,Medium Mover,4,4,1,1,Low Priority Item
DT0422,12.0,2,Medium Mover,4,4,2,2,Low Priority Item
P5002182,12.0,2,Medium Mover,9,4,6,3,Low Priority Item
SM1491,12.0,2,Medium Mover,4,3,2,2,Low Priority Item
SM2206,12.0,2,Medium Mover,5,2,4,3,Low Priority Item
SM1910,12.5,2,Medium Mover,2,2,2,2,Low Priority Item
175851,13.0,2,Medium Mover,3,2,3,3,Low Priority Item
179184,13.0,2,Medium Mover,4,2,4,2,Low Priority Item
52-362-268-001,13.0,2,Medium Mover,60,2,164,35,Low Priority Item
P2002356,13.0,2,Medium Mover,20,4,13,6,Medium Priority Item
P2002677,13.0,2,Medium Mover,13,2,15,4,Low Priority Item
P5001265,13.0,2,Medium Mover,160,2,155,25,Low Priority Item
SM2328,13.0,2,Medium Mover,2,2,4,3,Low Priority Item
179266,13.5,2,Medium Mover,4,4,2,2,Low Priority Item
SM2209,14.5,2,Medium Mover,2,2,2,2,Low Priority Item
SM2214,14.5,2,Medium Mover,4,2,4,2,Low Priority Item
103259LF,15.0,2,Medium Mover,288,2,288,2,Low Priority Item
104701,15.0,2,Medium Mover,5,3,5,3,Low Priority Item
183702,15.0,2,Medium Mover,5,5,2,2,Low Priority Item
183813,15.0,2,Medium Mover,2,2,2,2,Low Priority Item
183985,15.0,2,Medium Mover,2,2,2,2,Low Priority Item
184734,15.0,2,Medium Mover,6,3,4,2,Low Priority Item
DM1153,15.0,2,Medium Mover,15,3,10,3,Low Priority Item
P5004276,15.0,2,Medium Mover,8,2,8,5,Medium Priority Item
P6015351,15.0,2,Medium Mover,142,8,78,13,Medium Priority Item
P6010847,15.5,2,Medium Mover,5,4,4,4,Low Priority Item
DM0459,16.0,2,Medium Mover,30,2,30,12,Low Priority Item
175031,16.5,2,Medium Mover,3,2,3,2,Low Priority Item
180841,17.0,2,Medium Mover,4,3,2,2,Low Priority Item
183696,17.0,2,Medium Mover,6,2,5,3,Low Priority Item
762503930,17.0,2,Medium Mover,8,2,8,2,Low Priority Item
M75064,17.0,2,Medium Mover,200,2,165,13,Low Priority Item
P6010364,17.0,2,Medium Mover,24,2,11,3,Low Priority Item
P6018934,17.0,2,Medium Mover,7,3,5,2,Low Priority Item
175841,18.5,2,Medium Mover,2,2,2,2,Low Priority Item
768560020,19.0,2,Medium Mover,64,4,82,17,Medium Priority Item
SM0297,19.0,2,Medium Mover,3,2,3,2,Low Priority Item
178687,19.5,2,Medium Mover,3,2,3,2,Low Priority Item
772610807,19.5,2,Medium Mover,400,2,548,6,Medium Priority Item
AC1584,19.5,2,Medium Mover,5,2,5,4,Low Priority Item
P6011297,19.5,2,Medium Mover,4,4,1,1,Low Priority Item
P6011640,19.5,2,Medium Mover,5,2,4,2,Low Priority Item
179225,20.0,2,Medium Mover,6,3,6,4,Low Priority Item
