item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104304,2021-12-31 00:00:00,8.0,2021-12,2021-12-31 00:00:00,8.0,1.0,
104304,2022-02-28 00:00:00,19.0,2022-02,2022-02-28 00:00:00,5.0,0.2631578947368421,1.0
104304,2023-06-30 00:00:00,14.0,2023-06,2023-06-30 00:00:00,18.0,1.2857142857142858,0.2631578947368421
104304,2023-07-31 00:00:00,3.0,2023-07,0,0.0,0.0,1.2857142857142858
104304,2023-08-31 00:00:00,2.0,2023-08,0,0.0,0.0,0.0
104304,2023-09-30 00:00:00,3.0,2023-09,2023-09-30 00:00:00,1.0,0.3333333333333333,0.0
104306,2021-02-28 00:00:00,10.0,2021-02,2021-02-28 00:00:00,36.0,3.6,
104306,2021-06-30 00:00:00,108.0,2021-06,0,0.0,0.0,3.6
104306,2021-07-31 00:00:00,54.0,2021-07,2021-07-31 00:00:00,238.0,4.407407407407407,0.0
104306,2021-08-31 00:00:00,144.0,2021-08,2021-08-31 00:00:00,158.0,1.0972222222222223,4.407407407407407
104306,2021-09-30 00:00:00,58.0,2021-09,2021-09-30 00:00:00,12.0,0.20689655172413793,1.0972222222222223
104306,2021-11-30 00:00:00,33.0,2021-11,2021-11-30 00:00:00,38.0,1.1515151515151516,0.20689655172413793
104306,2021-12-31 00:00:00,18.0,2021-12,2021-12-31 00:00:00,18.0,1.0,1.1515151515151516
104306,2022-01-31 00:00:00,90.0,2022-01,2022-01-31 00:00:00,54.0,0.6,1.0
104306,2022-02-28 00:00:00,133.0,2022-02,2022-02-28 00:00:00,29.0,0.21804511278195488,0.6
104306,2022-04-30 00:00:00,86.0,2022-04,0,0.0,0.0,0.21804511278195488
104306,2022-05-31 00:00:00,36.0,2022-05,0,0.0,0.0,0.0
104306,2022-06-30 00:00:00,54.0,2022-06,2022-06-30 00:00:00,71.0,1.3148148148148149,0.0
104306,2022-07-31 00:00:00,50.0,2022-07,2022-07-31 00:00:00,127.0,2.54,1.3148148148148149
104306,2022-08-31 00:00:00,90.0,2022-08,2022-08-31 00:00:00,60.0,0.6666666666666666,2.54
104306,2022-09-30 00:00:00,72.0,2022-09,0,0.0,0.0,0.6666666666666666
104306,2022-11-30 00:00:00,54.0,2022-11,2022-11-30 00:00:00,31.0,0.5740740740740741,0.0
104306,2022-12-31 00:00:00,162.0,2022-12,2022-12-31 00:00:00,33.0,0.2037037037037037,0.5740740740740741
104306,2023-03-31 00:00:00,18.0,2023-03,2023-03-31 00:00:00,38.0,2.111111111111111,0.2037037037037037
104306,2023-04-30 00:00:00,18.0,2023-04,2023-04-30 00:00:00,98.0,5.444444444444445,2.111111111111111
104306,2023-05-31 00:00:00,72.0,2023-05,0,0.0,0.0,5.444444444444445
104306,2023-07-31 00:00:00,54.0,2023-07,2023-07-31 00:00:00,57.0,1.0555555555555556,0.0
104306,2023-08-31 00:00:00,54.0,2023-08,2023-08-31 00:00:00,83.0,1.537037037037037,1.0555555555555556
104308,2021-02-28 00:00:00,72.0,2021-02,2021-02-28 00:00:00,36.0,0.5,
104308,2021-07-31 00:00:00,63.0,2021-07,2021-07-31 00:00:00,106.0,1.6825396825396826,0.5
104308,2021-08-31 00:00:00,88.0,2021-08,2021-08-31 00:00:00,108.0,1.2272727272727273,1.6825396825396826
104308,2021-09-30 00:00:00,18.0,2021-09,2021-09-30 00:00:00,124.0,6.888888888888889,1.2272727272727273
104308,2021-10-31 00:00:00,48.0,2021-10,0,0.0,0.0,6.888888888888889
104308,2021-11-30 00:00:00,18.0,2021-11,2021-11-30 00:00:00,71.0,3.9444444444444446,0.0
104308,2021-12-31 00:00:00,24.0,2021-12,0,0.0,0.0,3.9444444444444446
104308,2022-01-31 00:00:00,54.0,2022-01,2022-01-31 00:00:00,40.0,0.7407407407407407,0.0
104308,2022-02-28 00:00:00,130.0,2022-02,2022-02-28 00:00:00,25.0,0.19230769230769232,0.7407407407407407
104308,2022-04-30 00:00:00,54.0,2022-04,0,0.0,0.0,0.19230769230769232
104308,2022-05-31 00:00:00,12.0,2022-05,0,0.0,0.0,0.0
104308,2022-06-30 00:00:00,18.0,2022-06,2022-06-30 00:00:00,49.0,2.7222222222222223,0.0
104308,2022-07-31 00:00:00,68.0,2022-07,2022-07-31 00:00:00,54.0,0.7941176470588235,2.7222222222222223
104308,2022-08-31 00:00:00,46.0,2022-08,2022-08-31 00:00:00,94.0,2.0434782608695654,0.7941176470588235
104308,2022-09-30 00:00:00,72.0,2022-09,0,0.0,0.0,2.0434782608695654
104308,2022-12-31 00:00:00,52.0,2022-12,2022-12-31 00:00:00,28.0,0.5384615384615384,0.0
104308,2023-01-31 00:00:00,66.0,2023-01,2023-01-31 00:00:00,11.0,0.16666666666666666,0.5384615384615384
104308,2023-04-30 00:00:00,48.0,2023-04,2023-04-30 00:00:00,12.0,0.25,0.16666666666666666
104308,2023-05-31 00:00:00,18.0,2023-05,2023-05-31 00:00:00,13.0,0.7222222222222222,0.25
104308,2023-07-31 00:00:00,36.0,2023-07,2023-07-31 00:00:00,37.0,1.0277777777777777,0.7222222222222222
104308,2023-08-31 00:00:00,30.0,2023-08,2023-08-31 00:00:00,18.0,0.6,1.0277777777777777
104308,2023-09-30 00:00:00,30.0,2023-09,0,0.0,0.0,0.6
104309,2021-02-28 00:00:00,12.0,2021-02,2021-02-28 00:00:00,42.0,3.5,
104309,2021-06-30 00:00:00,136.0,2021-06,2021-06-30 00:00:00,288.0,2.1176470588235294,3.5
104309,2021-07-31 00:00:00,55.0,2021-07,2021-07-31 00:00:00,114.0,2.0727272727272728,2.1176470588235294
104309,2021-08-31 00:00:00,67.0,2021-08,2021-08-31 00:00:00,24.0,0.3582089552238806,2.0727272727272728
104309,2021-09-30 00:00:00,30.0,2021-09,2021-09-30 00:00:00,130.0,4.333333333333333,0.3582089552238806
104309,2021-11-30 00:00:00,66.0,2021-11,0,0.0,0.0,4.333333333333333
104309,2021-12-31 00:00:00,24.0,2021-12,2021-12-31 00:00:00,56.0,2.3333333333333335,0.0
104309,2022-01-31 00:00:00,42.0,2022-01,2022-01-31 00:00:00,20.0,0.47619047619047616,2.3333333333333335
104309,2022-02-28 00:00:00,24.0,2022-02,2022-02-28 00:00:00,32.0,1.3333333333333333,0.47619047619047616
104309,2022-04-30 00:00:00,144.0,2022-04,0,0.0,0.0,1.3333333333333333
104309,2022-05-31 00:00:00,90.0,2022-05,0,0.0,0.0,0.0
104309,2022-06-30 00:00:00,60.0,2022-06,2022-06-30 00:00:00,90.0,1.5,0.0
104309,2022-07-31 00:00:00,90.0,2022-07,2022-07-31 00:00:00,166.0,1.8444444444444446,1.5
104309,2022-10-31 00:00:00,130.0,2022-10,2022-10-31 00:00:00,115.0,0.8846153846153846,1.8444444444444446
104309,2022-12-31 00:00:00,132.0,2022-12,2022-12-31 00:00:00,24.0,0.18181818181818182,0.8846153846153846
104309,2023-01-31 00:00:00,42.0,2023-01,2023-01-31 00:00:00,25.0,0.5952380952380952,0.18181818181818182
104309,2023-03-31 00:00:00,12.0,2023-03,0,0.0,0.0,0.5952380952380952
104309,2023-04-30 00:00:00,24.0,2023-04,2023-04-30 00:00:00,60.0,2.5,0.0
104309,2023-05-31 00:00:00,144.0,2023-05,2023-05-31 00:00:00,22.0,0.1527777777777778,2.5
104309,2023-06-30 00:00:00,60.0,2023-06,2023-06-30 00:00:00,67.0,1.1166666666666667,0.1527777777777778
104309,2023-07-31 00:00:00,20.0,2023-07,2023-07-31 00:00:00,108.0,5.4,1.1166666666666667
104309,2023-08-31 00:00:00,18.0,2023-08,0,0.0,0.0,5.4
104310,2021-02-28 00:00:00,24.0,2021-02,0,0.0,0.0,
104310,2021-03-31 00:00:00,7.0,2021-03,2021-03-31 00:00:00,20.0,2.857142857142857,0.0
104310,2021-06-30 00:00:00,36.0,2021-06,0,0.0,0.0,2.857142857142857
104310,2021-07-31 00:00:00,32.0,2021-07,2021-07-31 00:00:00,64.0,2.0,0.0
104310,2021-08-31 00:00:00,32.0,2021-08,2021-08-31 00:00:00,150.0,4.6875,2.0
104310,2021-09-30 00:00:00,18.0,2021-09,2021-09-30 00:00:00,20.0,1.1111111111111112,4.6875
104310,2021-10-31 00:00:00,20.0,2021-10,2021-10-31 00:00:00,28.0,1.4,1.1111111111111112
104310,2021-11-30 00:00:00,30.0,2021-11,2021-11-30 00:00:00,20.0,0.6666666666666666,1.4
104310,2022-01-31 00:00:00,67.0,2022-01,2022-01-31 00:00:00,18.0,0.26865671641791045,0.6666666666666666
104310,2022-04-30 00:00:00,44.0,2022-04,0,0.0,0.0,0.26865671641791045
104310,2022-05-31 00:00:00,20.0,2022-05,0,0.0,0.0,0.0
104310,2022-07-31 00:00:00,80.0,2022-07,2022-07-31 00:00:00,15.0,0.1875,0.0
104310,2022-08-31 00:00:00,40.0,2022-08,2022-08-31 00:00:00,59.0,1.475,0.1875
