year,month,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,2,DB0113,2.0,5.5,0.36363636363636365
2021,2,DB0114,2.0,-1.0,-2.0
2021,2,DF0484,7.0,-3.5,-2.0
2021,2,DP0780,0.0,1.0,0.0
2021,2,DP1604,51.0,-25.5,-2.0
2021,2,DR0308,1.0,-0.5,-2.0
2021,2,DR0612,39.0,8.5,4.588235294117647
2021,2,DT0766,3.0,13.5,0.2222222222222222
2021,2,DT0769,0.0,2.5,0.0
2021,2,DT0772,23.0,36.5,0.6301369863013698
2021,2,FJ872A,1.0,0.0,inf
2021,2,G96819,60.0,66.0,0.9090909090909091
2021,2,M1000230,180.0,-90.0,-2.0
2021,2,M28099,0.0,2016.0,0.0
2021,2,M28177,0.0,792.0,0.0
2021,2,P00352,716.0,-358.0,-2.0
2021,2,P2000011,0.0,12.5,0.0
2021,2,P2000034,5.0,37.5,0.13333333333333333
2021,2,P2000543,2.0,-1.0,-2.0
2021,2,P2000655,2.0,-1.0,-2.0
2021,2,P2000656,0.0,5.0,0.0
2021,2,P2000657,1.0,-0.5,-2.0
2021,2,P2000658,3.0,6.0,0.5
2021,2,P2000676,1.0,5.5,0.18181818181818182
2021,2,P2000677,1.0,1.5,0.6666666666666666
2021,2,P2000678,4.0,0.0,inf
2021,2,P2000680,3.0,5.5,0.5454545454545454
2021,2,P2000682,6.0,-3.0,-2.0
2021,2,P2000683,2.0,-1.0,-2.0
2021,2,P2000688,4.0,-2.0,-2.0
2021,2,P2000726,6.0,4.0,1.5
2021,2,P2000842,43.0,-21.5,-2.0
2021,2,P2000848,0.0,75.0,0.0
2021,2,P2000852,0.0,90.0,0.0
2021,2,P2000872,0.0,12.0,0.0
2021,2,P2000890,12.0,4.0,3.0
2021,2,P2001149,2.0,-1.0,-2.0
2021,2,P2001155,0.0,4.0,0.0
2021,2,P2001165,4.0,-2.0,-2.0
2021,2,P2001337,0.0,175.0,0.0
2021,2,P2001391,0.0,2.0,0.0
2021,2,P2001575,0.0,90.0,0.0
2021,2,P2001576,0.0,15.0,0.0
2021,2,P2001625,29.0,-18.5,-1.5675675675675675
2021,2,P2001639,4.0,-2.0,-2.0
2021,2,P2002376,0.0,50.0,0.0
2021,2,P2002394,8.0,-4.0,-2.0
2021,2,P2002402,0.0,4.0,0.0
2021,2,P2002404,0.0,56.0,0.0
2021,2,P2002406,12.0,58.0,0.20689655172413793
2021,2,P2002414,20.0,14.0,1.4285714285714286
2021,2,P2002422,0.0,13.0,0.0
2021,2,P2002444,10.0,3.0,3.3333333333333335
2021,2,P2002459,4.0,0.0,inf
2021,2,P2002461,2.0,1.0,2.0
2021,2,P2002463,4.0,4.0,1.0
2021,2,P2002465,8.0,11.0,0.7272727272727273
2021,2,P2002467,0.0,4.0,0.0
2021,2,P2002469,0.0,5.0,0.0
2021,2,P2002484,0.0,9.5,0.0
2021,2,P2002519,8.0,-4.0,-2.0
2021,2,P2002522,0.0,2.0,0.0
2021,2,P2002542,78.0,-61.0,-1.278688524590164
2021,2,P2002543,145.0,-98.5,-1.4720812182741116
2021,2,P2002544,64.0,-32.0,-2.0
2021,2,P2002545,42.0,-21.0,-2.0
2021,2,P2002591,24.0,0.5,48.0
2021,2,P2002629,0.0,-1.5,-0.0
2021,2,P2003151,0.0,0.5,0.0
2021,2,P2003328,0.0,0.5,0.0
2021,2,P2003472,16.0,7.0,2.2857142857142856
2021,2,P2003473,2.0,-1.0,-2.0
2021,2,P2003474,2.0,0.5,4.0
2021,2,P2003475,2.0,5.0,0.4
2021,2,P2004413,0.0,35.0,0.0
2021,2,P2004415,0.0,35.0,0.0
2021,2,P2004417,7.0,-3.5,-2.0
2021,2,P2004421,0.0,16.0,0.0
2021,2,P2004427,12.0,-6.0,-2.0
2021,2,P2004438,0.0,8.0,0.0
2021,2,P2004561,8.0,-4.0,-2.0
2021,2,P2004695,0.0,7.0,0.0
2021,2,P40600,17.0,-8.5,-2.0
2021,2,P41100,16.0,0.5,32.0
2021,2,P41130,20.0,-10.0,-2.0
2021,2,P41780,0.0,36.0,0.0
2021,2,P42542,0.0,242.0,0.0
2021,2,P43972,0.0,12.0,0.0
2021,2,P44081,0.0,31.5,0.0
2021,2,P45730,40.0,40.0,1.0
2021,2,P47800,4.0,-1.0,-4.0
2021,2,P5001024,0.0,25.0,0.0
2021,2,P5001055,1.0,-0.5,-2.0
2021,2,P5001074,2.0,-1.0,-2.0
2021,2,P5001075,2.0,-1.0,-2.0
2021,2,P5001079,7.0,-3.5,-2.0
2021,2,P5001082,2.0,-1.0,-2.0
2021,2,P5001143,1.0,-0.5,-2.0
2021,2,P5001178,5.0,-2.5,-2.0
2021,2,P5001185,0.0,16.5,0.0
2021,2,P5001189,2.0,-1.0,-2.0
2021,2,P5001231,0.0,3.5,0.0
2021,2,P5001236,2.0,-1.0,-2.0
2021,2,P5001245,0.0,30.0,0.0
2021,2,P5001247,8.0,-4.0,-2.0
2021,2,P5001265,1.0,-2.5,-0.4
2021,2,P5001272,2.0,-5.0,-0.4
2021,2,P5001291,0.0,6.0,0.0
2021,2,P5001299,0.0,0.5,0.0
2021,2,P5001307,0.0,3.5,0.0
2021,2,P5001319,0.0,7.5,0.0
2021,2,P5001416,1.0,-0.5,-2.0
2021,2,P5001420,2.0,-1.0,-2.0
2021,2,P5001476,0.0,21.5,0.0
2021,2,P5001482,0.0,9.5,0.0
2021,2,P5001527,1.0,-0.5,-2.0
2021,2,P5001528,0.0,5.0,0.0
2021,2,P5001566,0.0,5.0,0.0
2021,2,P5001647,3.0,13.5,0.2222222222222222
2021,2,P5001700,0.0,2.0,0.0
2021,2,P5001718,1.0,0.0,inf
2021,2,P5001723,0.0,2.0,0.0
2021,2,P5001748,1.0,2.5,0.4
2021,2,P5001751,0.0,30.0,0.0
2021,2,P5001770,0.0,9.5,0.0
2021,2,P5001781,2.0,1.5,1.3333333333333333
2021,2,P5001800,2.0,-1.0,-2.0
2021,2,P5002083,2.0,-1.0,-2.0
2021,2,P5002427,0.0,10.0,0.0
2021,2,P5002513,0.0,4.0,0.0
2021,2,P5002558,0.0,4.5,0.0
2021,2,P5002561,0.0,10.0,0.0
2021,2,P5002630,3.0,-1.5,-2.0
2021,2,P5002633,1.0,2.0,0.5
2021,2,P5003175,0.0,8.0,0.0
2021,2,P5003544,0.0,1.5,0.0
2021,2,P5003552,0.0,15.0,0.0
2021,2,P5003554,0.0,120.0,0.0
2021,2,P5003562,14.0,-7.0,-2.0
