year_month,item_number,cumulative_lpns
2021-02,P85246,3.0
2021-02,P85248,3.0
2021-02,P85249,1.0
2021-02,P85250,1.0
2021-02,P85252,1.0
2021-02,P85254,2.0
2021-02,P85255,2.0
2021-02,P85258,1.0
2021-02,P85265,1.0
2021-02,P85266,1.0
2021-02,P85267,2.0
2021-02,P85285,25.0
2021-02,P85286,40.0
2021-02,P85287,49.0
2021-02,P85288,28.0
2021-02,P85289,10.0
2021-02,P85290,37.0
2021-02,P85291,19.0
2021-02,P85298,13.0
2021-02,P85299,3.0
2021-02,P86236,5.0
2021-02,P90524,1.0
2021-02,P90528,2.0
2021-02,V1000290,0.0
2021-02,V1000292,2.0
2021-02,V1000296,3.0
2021-02,V1000298,2.0
2021-02,V1000914,-1.0
2021-02,V1000921,0.0
2021-02,V1000929,0.0
2021-02,V1000938,3.0
2021-02,V1000945,2.0
2021-02,V1000956,2.0
2021-02,V1000974,1.0
2021-02,V1000981,3.0
2021-02,V1000995,1.0
2021-02,V1001001,2.0
2021-02,V1001064,0.0
2021-02,V1001091,0.0
2021-02,V1001098,-3.0
2021-02,V1001188,2.0
2021-02,V1001198,2.0
2021-02,V1001203,2.0
2021-02,V50839,5.0
2021-02,V50922,1.0
2021-02,V50925,1.0
2021-02,V50926,1.0
2021-02,V50928,1.0
2021-02,V51802,1.0
2021-02,V51967,12.0
2021-02,V59171,1.0
2021-03,08-111-626-501,5.0
2021-03,08-112-783-501,2.0
2021-03,103251,33.0
2021-03,103252LF,29.0
2021-03,103255LF,1.0
2021-03,103257LF,5.0
2021-03,103258LF,4.0
2021-03,103260LF,7.0
2021-03,103267,0.0
2021-03,103350,4.0
2021-03,103351LF,2.0
2021-03,103400,24.0
2021-03,103401LF,12.0
2021-03,103402,2.0
2021-03,103417,28.0
2021-03,104300,5.0
2021-03,104310,3.0
2021-03,104312,0.0
2021-03,104313,2.0
2021-03,104321,-9.0
2021-03,104451LF,9.0
2021-03,104609,0.0
2021-03,106514LF,1.0
2021-03,110191LF,1.0
2021-03,110194LF,1.0
2021-03,115104,25.0
2021-03,115111,11.0
2021-03,115112,2.0
2021-03,115113,1.0
2021-03,115115,1.0
2021-03,115116,2.0
2021-03,115119,4.0
2021-03,115120,3.0
2021-03,115121,16.0
2021-03,115122,4.0
2021-03,115125,6.0
2021-03,115126,3.0
2021-03,115127,19.0
2021-03,115175,1.0
2021-03,115179,2.0
2021-03,115182,2.0
2021-03,115184,4.0
2021-03,115186,1.0
2021-03,115189,3.0
2021-03,210618,2.0
2021-03,210619,3.0
2021-03,245122,2.0
2021-03,245592,2.0
2021-03,245755,1.0
2021-03,52-116-917-501,2.0
2021-03,52-116-917-520,5.0
2021-03,52-116-917-523,1.0
2021-03,52-116-918-501,-5.0
2021-03,52-116-920-501,-6.0
2021-03,52-116-921-501,-3.0
2021-03,52-116-922-501,4.0
2021-03,52-116-923-501,6.0
2021-03,52-116-924-501,5.0
2021-03,52-116-926-501,2.0
2021-03,52-116-968-501,1.0
2021-03,52-118-401-501,11.0
2021-03,52-123-957-501,3.0
2021-03,52-123-957-522,4.0
2021-03,52-128-321-501,19.0
2021-03,52-128-321-521,1.0
2021-03,52-129-440-501,5.0
2021-03,52-129-440-520,1.0
2021-03,52-129-440-521,1.0
2021-03,52-129-475-501,1.0
2021-03,52-229-646-001,-3.0
2021-03,52-229-647-001,-4.0
2021-03,52-239-344-001,2.0
2021-03,52-261-022-001,1.0
2021-03,52-261-521-001,2.0
2021-03,52-261-582-001,1.0
2021-03,52-327-220-007,0.0
2021-03,52-362-317-001,-3.0
2021-03,52-362-387-001,2.0
2021-03,52-460-745-501,1.0
2021-03,52-460-761-501,3.0
2021-03,52-461-395-001,4.0
2021-03,52-461-827-501,4.0
2021-03,52-462-487-501,1.0
2021-03,555038,0.0
2021-03,555075,1.0
2021-03,760382040,1.0
2021-03,7604A0080,1.0
2021-03,763418130,1.0
2021-03,769582770,2.0
2021-03,772610246,1.0
2021-03,772611243,0.0
2021-03,772634336,1.0
2021-03,772640810,-1.0
2021-03,772640853,1.0
2021-03,7C0352790,1.0
2021-03,7C065102B,2.0
2021-03,AC1733,0.0
2021-03,AC1849,1.0
2021-03,AC1850,1.0
2021-03,AC1854,1.0
2021-03,AC1859,2.0
2021-03,AC1864,-2.0
2021-03,AC1867,-2.0
2021-03,AC1869,-3.0
2021-03,AC2175,1.0
2021-03,AC2465,2.0
2021-03,AC2532,-2.0
2021-03,AC2559,1.0
2021-03,AC2587,0.0
2021-03,AC2614,0.0
2021-03,AC6113,-6.0
2021-03,AC6503,-1.0
2021-03,AC6513,-1.0
2021-03,AC8479,2.0
2021-03,AC8480,-2.0
2021-03,AC8574,4.0
2021-03,AC8668,2.0
2021-03,AP0148,0.0
2021-03,AP0156,1.0
2021-03,DF0676,1.0
2021-03,DF0678,1.0
2021-03,DP0780,2.0
2021-03,DP1606,-3.0
2021-03,DR0234,1.0
2021-03,DR0298,1.0
2021-03,DR0612,-9.0
2021-03,DT0766,-3.0
2021-03,DT0772,-9.0
2021-03,F74000,1.0
2021-03,G96817,4.0
2021-03,G96819,6.0
2021-03,M28177,2.0
2021-03,P03560,0.0
2021-03,P2000676,-1.0
2021-03,P2000677,0.0
2021-03,P2000678,0.0
2021-03,P2000680,3.0
2021-03,P2000726,2.0
2021-03,P2000838,-1.0
2021-03,P2000842,-4.0
2021-03,P2000856,1.0
2021-03,P2000872,0.0
2021-03,P2001125,0.0
2021-03,P2001152,1.0
2021-03,P2001155,4.0
2021-03,P2001337,1.0
2021-03,P2001391,3.0
2021-03,P2001575,4.0
2021-03,P2001577,-3.0
2021-03,P2001601,0.0
2021-03,P2001605,0.0
2021-03,P2001617,-1.0
2021-03,P2001621,2.0
2021-03,P2001623,-1.0
2021-03,P2001625,-2.0
2021-03,P2001630,4.0
2021-03,P2001637,1.0
2021-03,P2001638,1.0
2021-03,P2001639,0.0
2021-03,P2001641,1.0
2021-03,P2002402,3.0
2021-03,P2002404,12.0
2021-03,P2002406,11.0
2021-03,P2002412,4.0
2021-03,P2002414,0.0
2021-03,P2002444,-3.0
2021-03,P2002459,0.0
2021-03,P2002461,-1.0
2021-03,P2002463,1.0
2021-03,P2002465,-2.0
2021-03,P2002469,0.0
2021-03,P2002471,2.0
2021-03,P2002480,-1.0
2021-03,P2002637,0.0
2021-03,P2002701,0.0
2021-03,P2003151,1.0
2021-03,P2003472,5.0
2021-03,P2003474,0.0
2021-03,P2003476,0.0
2021-03,P2003516,0.0
2021-03,P2004415,14.0
2021-03,P2004419,3.0
2021-03,P2004421,4.0
2021-03,P2004425,-8.0
2021-03,P2004427,-9.0
2021-03,P2004561,1.0
2021-03,P2004563,0.0
2021-03,P2004565,-2.0
2021-03,P2004622,1.0
2021-03,P2004626,1.0
2021-03,P41620,0.0
2021-03,P41780,2.0
2021-03,P42546,-2.0
2021-03,P43672,1.0
2021-03,P43972,18.0
2021-03,P44081,11.0
2021-03,P45730,1.0
2021-03,P5001017,1.0
2021-03,P5001024,2.0
2021-03,P5001041,1.0
2021-03,P5001128,1.0
2021-03,P5001141,1.0
2021-03,P5001143,0.0
2021-03,P5001144,1.0
2021-03,P5001186,1.0
2021-03,P5001221,2.0
2021-03,P5001231,2.0
2021-03,P5001236,-1.0
2021-03,P5001240,1.0
2021-03,P5001299,3.0
2021-03,P5001303,3.0
2021-03,P5001313,1.0
2021-03,P5001331,2.0
2021-03,P5001337,1.0
2021-03,P5001343,2.0
2021-03,P5001349,1.0
2021-03,P5001383,2.0
2021-03,P5001387,3.0
