year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,2,P5002633,1.0,1.0,1.0
2021,1,2,P5003175,16.0,0.0,0.0
2021,1,2,P5003544,3.0,0.0,0.0
2021,1,2,P5003552,30.0,0.0,0.0
2021,1,2,P5003554,120.0,0.0,0.0
2021,1,2,P5003617,16.0,0.0,0.0
2021,1,2,P5003623,24.0,0.0,0.0
2021,1,2,P5003625,8.0,0.0,0.0
2021,1,2,P5004254,100.0,0.0,0.0
2021,1,2,P5004259,200.0,32.0,0.16
2021,1,2,P5004260,100.0,10.0,0.1
2021,1,2,P5004266,12.0,2.0,0.16666666666666666
2021,1,2,P5004269,20.0,1.0,0.05
2021,1,2,P5004272,44.0,34.0,0.7727272727272727
2021,1,2,P5004279,12.0,9.0,0.75
2021,1,2,P5004283,3.0,2.0,0.6666666666666666
2021,1,2,P5004290,5.0,0.0,0.0
2021,1,2,P5004297,8.0,1.0,0.125
2021,1,2,P5004300,8.0,0.0,0.0
2021,1,2,P5004303,12.0,0.0,0.0
2021,1,2,P58729,11.0,0.0,0.0
2021,1,2,P6010097,6.0,0.0,0.0
2021,1,2,P6010098,6.0,18.0,3.0
2021,1,2,P6010099,24.0,0.0,0.0
2021,1,2,P6010101,18.0,26.0,1.4444444444444444
2021,1,2,P6010108,18.0,0.0,0.0
2021,1,2,P6010110,6.0,0.0,0.0
2021,1,2,P6010121,2.0,0.0,0.0
2021,1,2,P6010130,24.0,3.0,0.125
2021,1,2,P6010131,32.0,0.0,0.0
2021,1,2,P6010142,24.0,0.0,0.0
2021,1,2,P6010144,36.0,2.0,0.05555555555555555
2021,1,2,P6010148,24.0,0.0,0.0
2021,1,2,P6010211,4.0,0.0,0.0
2021,1,2,P6010319,4.0,0.0,0.0
2021,1,2,P6010322,12.0,0.0,0.0
2021,1,2,P6010347,8.0,0.0,0.0
2021,1,2,P6010350,4.0,0.0,0.0
2021,1,2,P6010361,5.0,2.0,0.4
2021,1,2,P6010362,8.0,6.0,0.75
2021,1,2,P6010370,24.0,0.0,0.0
2021,1,2,P6010373,24.0,0.0,0.0
2021,1,2,P6010375,24.0,0.0,0.0
2021,1,2,P6010443,11.0,5.0,0.45454545454545453
2021,1,2,P6010448,5.0,0.0,0.0
2021,1,2,P6010468,8.0,0.0,0.0
2021,1,2,P6010493,2.0,6.0,3.0
2021,1,2,P6010512,9.0,0.0,0.0
2021,1,2,P6010520,9.0,3.0,0.3333333333333333
2021,1,2,P6010536,4.0,0.0,0.0
2021,1,2,P6010542,1.0,0.0,0.0
2021,1,2,P6010554,2.0,0.0,0.0
2021,1,2,P6010580,1.0,2.0,2.0
2021,1,2,P6010585,7.0,6.0,0.8571428571428571
2021,1,2,P6010590,3.0,1.0,0.3333333333333333
2021,1,2,P6010591,2.0,0.0,0.0
