item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104626,2022-09-30 00:00:00,1.0,2022Q3,0,0.0,0.0,1.0
104626,2022-12-31 00:00:00,2.0,2022Q4,2022-12-31 00:00:00,2.0,1.0,0.0
104626,2023-03-31 00:00:00,3.0,2023Q1,2023-03-31 00:00:00,1.0,0.3333333333333333,1.0
104631,2023-06-30 00:00:00,1.0,2023Q2,0,0.0,0.0,
104639,2023-06-30 00:00:00,2.0,2023Q2,2023-06-30 00:00:00,2.0,1.0,
104643,2023-06-30 00:00:00,1.0,2023Q2,2023-06-30 00:00:00,1.0,1.0,
104645,2021-06-30 00:00:00,4.0,2021Q2,0,0.0,0.0,
104645,2022-12-31 00:00:00,3.0,2022Q4,2022-12-31 00:00:00,2.0,0.6666666666666666,0.0
104675,2021-06-30 00:00:00,2.0,2021Q2,2021-06-30 00:00:00,2.0,1.0,
104675,2021-12-31 00:00:00,4.0,2021Q4,2021-12-31 00:00:00,2.0,0.5,1.0
104675,2022-03-31 00:00:00,1.0,2022Q1,0,0.0,0.0,0.5
104675,2022-12-31 00:00:00,1.0,2022Q4,2022-12-31 00:00:00,1.0,1.0,0.0
104675,2023-09-30 00:00:00,2.0,2023Q3,2023-09-30 00:00:00,2.0,1.0,1.0
104681,2023-03-31 00:00:00,2.0,2023Q1,2023-03-31 00:00:00,2.0,1.0,
104683,2021-06-30 00:00:00,1.0,2021Q2,2021-06-30 00:00:00,2.0,2.0,
104701,2023-06-30 00:00:00,3.0,2023Q2,2023-06-30 00:00:00,3.0,1.0,
104701,2023-09-30 00:00:00,2.0,2023Q3,2023-09-30 00:00:00,2.0,1.0,1.0
104706,2022-03-31 00:00:00,2.0,2022Q1,2022-03-31 00:00:00,2.0,1.0,
104706,2022-12-31 00:00:00,1.0,2022Q4,2022-12-31 00:00:00,1.0,1.0,1.0
104706,2023-06-30 00:00:00,2.0,2023Q2,0,0.0,0.0,1.0
104706,2023-09-30 00:00:00,1.0,2023Q3,2023-09-30 00:00:00,1.0,1.0,0.0
104715,2023-09-30 00:00:00,8.0,2023Q3,2023-09-30 00:00:00,4.0,0.5,
104726,2022-12-31 00:00:00,4.0,2022Q4,0,0.0,0.0,
104726,2023-03-31 00:00:00,1.0,2023Q1,0,0.0,0.0,0.0
104726,2023-09-30 00:00:00,10.0,2023Q3,2023-09-30 00:00:00,10.0,1.0,0.0
104728,2023-06-30 00:00:00,3.0,2023Q2,2023-06-30 00:00:00,3.0,1.0,
104800,2021-12-31 00:00:00,9.0,2021Q4,2021-12-31 00:00:00,2.0,0.2222222222222222,
104800,2022-03-31 00:00:00,4.0,2022Q1,2022-03-31 00:00:00,15.0,3.75,0.2222222222222222
104800,2022-06-30 00:00:00,10.0,2022Q2,2022-06-30 00:00:00,6.0,0.6,3.75
104800,2022-09-30 00:00:00,11.0,2022Q3,2022-09-30 00:00:00,12.0,1.0909090909090908,0.6
104800,2022-12-31 00:00:00,12.0,2022Q4,2022-12-31 00:00:00,1.0,0.08333333333333333,1.0909090909090908
104800,2023-03-31 00:00:00,8.0,2023Q1,2023-03-31 00:00:00,24.0,3.0,0.08333333333333333
104800,2023-06-30 00:00:00,4.0,2023Q2,2023-06-30 00:00:00,4.0,1.0,3.0
104800,2023-09-30 00:00:00,30.0,2023Q3,2023-09-30 00:00:00,20.0,0.6666666666666666,1.0
106507,2021-03-31 00:00:00,144.0,2021Q1,0,0.0,0.0,
106507,2021-06-30 00:00:00,1440.0,2021Q2,2021-06-30 00:00:00,576.0,0.4,0.0
106514LF,2021-03-31 00:00:00,288.0,2021Q1,2021-03-31 00:00:00,144.0,0.5,
106514LF,2021-06-30 00:00:00,1872.0,2021Q2,2021-06-30 00:00:00,1076.0,0.5747863247863247,0.5
106514LF,2021-09-30 00:00:00,432.0,2021Q3,2021-09-30 00:00:00,594.0,1.375,0.5747863247863247
107018,2021-06-30 00:00:00,528.0,2021Q2,0,0.0,0.0,
107018,2021-09-30 00:00:00,264.0,2021Q3,2021-09-30 00:00:00,1584.0,6.0,0.0
107018,2021-12-31 00:00:00,528.0,2021Q4,2021-12-31 00:00:00,696.0,1.3181818181818181,6.0
107018,2022-03-31 00:00:00,666.0,2022Q1,2022-03-31 00:00:00,464.0,0.6966966966966966,1.3181818181818181
107018,2022-06-30 00:00:00,216.0,2022Q2,2022-06-30 00:00:00,136.0,0.6296296296296297,0.6966966966966966
107018,2022-09-30 00:00:00,1476.0,2022Q3,2022-09-30 00:00:00,150.0,0.1016260162601626,0.6296296296296297
107018,2023-03-31 00:00:00,816.0,2023Q1,2023-03-31 00:00:00,735.0,0.9007352941176471,0.1016260162601626
107018,2023-06-30 00:00:00,174.0,2023Q2,0,0.0,0.0,0.9007352941176471
107018,2023-09-30 00:00:00,162.0,2023Q3,2023-09-30 00:00:00,6.0,0.037037037037037035,0.0
107019,2021-09-30 00:00:00,876.0,2021Q3,2021-09-30 00:00:00,1428.0,1.63013698630137,
107019,2021-12-31 00:00:00,420.0,2021Q4,2021-12-31 00:00:00,216.0,0.5142857142857142,1.63013698630137
107019,2022-06-30 00:00:00,1488.0,2022Q2,2022-06-30 00:00:00,364.0,0.2446236559139785,0.5142857142857142
107019,2022-09-30 00:00:00,419.0,2022Q3,2022-09-30 00:00:00,289.0,0.6897374701670644,0.2446236559139785
107019,2023-03-31 00:00:00,324.0,2023Q1,0,0.0,0.0,0.6897374701670644
