item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104626,2022-12-31 00:00:00,5.0,2022,2022-12-31 00:00:00,5.0,1.0,1.5
104626,2023-12-31 00:00:00,3.0,2023,2023-12-31 00:00:00,2.0,0.6666666666666666,1.0
104631,2023-12-31 00:00:00,1.0,2023,2023-12-31 00:00:00,1.0,1.0,
104639,2023-12-31 00:00:00,2.0,2023,2023-12-31 00:00:00,2.0,1.0,
104643,2023-12-31 00:00:00,1.0,2023,2023-12-31 00:00:00,1.0,1.0,
104645,2021-12-31 00:00:00,4.0,2021,0,0.0,0.0,
104645,2022-12-31 00:00:00,3.0,2022,2022-12-31 00:00:00,4.0,1.3333333333333333,0.0
104675,2021-12-31 00:00:00,6.0,2021,2021-12-31 00:00:00,4.0,0.6666666666666666,
104675,2022-12-31 00:00:00,2.0,2022,2022-12-31 00:00:00,1.0,0.5,0.6666666666666666
104675,2023-12-31 00:00:00,2.0,2023,2023-12-31 00:00:00,3.0,1.5,0.5
104681,2023-12-31 00:00:00,2.0,2023,2023-12-31 00:00:00,2.0,1.0,
104683,2021-12-31 00:00:00,1.0,2021,2021-12-31 00:00:00,2.0,2.0,
104701,2023-12-31 00:00:00,5.0,2023,2023-12-31 00:00:00,5.0,1.0,
104706,2022-12-31 00:00:00,3.0,2022,2022-12-31 00:00:00,3.0,1.0,
104706,2023-12-31 00:00:00,3.0,2023,2023-12-31 00:00:00,1.0,0.3333333333333333,1.0
104715,2023-12-31 00:00:00,8.0,2023,2023-12-31 00:00:00,4.0,0.5,
104726,2022-12-31 00:00:00,4.0,2022,0,0.0,0.0,
104726,2023-12-31 00:00:00,11.0,2023,2023-12-31 00:00:00,15.0,1.3636363636363635,0.0
104728,2023-12-31 00:00:00,3.0,2023,2023-12-31 00:00:00,3.0,1.0,
104800,2021-12-31 00:00:00,9.0,2021,2021-12-31 00:00:00,2.0,0.2222222222222222,
104800,2022-12-31 00:00:00,37.0,2022,2022-12-31 00:00:00,34.0,0.918918918918919,0.2222222222222222
104800,2023-12-31 00:00:00,42.0,2023,2023-12-31 00:00:00,48.0,1.1428571428571428,0.918918918918919
106507,2021-12-31 00:00:00,1584.0,2021,2021-12-31 00:00:00,864.0,0.5454545454545454,
106514LF,2021-12-31 00:00:00,2592.0,2021,2021-12-31 00:00:00,1814.0,0.6998456790123457,
107018,2021-12-31 00:00:00,1320.0,2021,2021-12-31 00:00:00,2280.0,1.7272727272727273,
107018,2022-12-31 00:00:00,2358.0,2022,2022-12-31 00:00:00,1498.0,0.635284139100933,1.7272727272727273
107018,2023-12-31 00:00:00,1152.0,2023,2023-12-31 00:00:00,741.0,0.6432291666666666,0.635284139100933
107019,2021-12-31 00:00:00,1296.0,2021,2021-12-31 00:00:00,1644.0,1.2685185185185186,
107019,2022-12-31 00:00:00,1907.0,2022,2022-12-31 00:00:00,1018.0,0.5338227582590456,1.2685185185185186
107019,2023-12-31 00:00:00,552.0,2023,2023-12-31 00:00:00,594.0,1.076086956521739,0.5338227582590456
107020,2021-12-31 00:00:00,132.0,2021,2021-12-31 00:00:00,264.0,2.0,
